과목명,하천명,부과대상 소재지주소,점용면적(제곱미터),점용목적,데이터기준일자
소하천점용,,경기도 안산시 단원구 성곡동  694-2 ,2,(소하천법)그 밖의 목적을 위한 점용,2025-04-30
소하천점용,,경기도 안산시 상록구 건건동  984 ,12.8,(하천법)관로 등의 매설을 위한 점용,2025-04-30
소하천점용,,경기도 안산시 상록구 부곡동  ,71,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
소하천점용,,경기도 안산시 단원구 대부북동  663-50 ,24,(소하천법)그 밖의 목적을 위한 점용,2025-04-30
소하천점용,뻑꾹천,경기도 안산시 단원구 대부북동  1526-19 ,,기타점용,2025-04-30
소하천점용,,경기도 안산시 상록구 건건동  330-10 ,22,(하천법)관로 등의 매설을 위한 점용,2025-04-30
소하천점용,,경기도 안산시 상록구 건건동  204-5 ,22,(하천법)관로 등의 매설을 위한 점용,2025-04-30
소하천점용,,경기도 의왕시 이미로 40 인덕원아이티밸리 D동 601호(포일동),22,(소하천법)관로 등의 매설을 위한 점용,2025-04-30
소하천점용,뻑꾹천,경기도 안산시 단원구 대부북동  1526-37 ,,(소하천) 일반 공작물,2025-04-30
소하천점용,,경기도 안산시 상록구 팔곡일동  653-18 ,651,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
소하천점용,분지천,경기도 안산시 단원구 대부동동  ,90,(소하천법)그 밖의 목적을 위한 점용,2025-04-30
소하천점용,양상천,경기도 안산시 상록구 양상동  343-9 ,129,(소하천법)관로 등의 매설을 위한 점용,2025-04-30
소하천점용,분지천,경기도 안산시 단원구 대부동동  ,18,(하천법)관로 등의 매설을 위한 점용,2025-04-30
소하천점용,분지천,경기도 안산시 단원구 대부동동  ,5,(소하천법)관로 등의 매설을 위한 점용,2025-04-30
소하천점용,분지천,경기도 안산시 단원구 대부동동  ,12,(소하천법)관로 등의 매설을 위한 점용,2025-04-30
소하천점용,분지천,경기도 안산시 단원구 대부동동  ,12,(소하천법)관로 등의 매설을 위한 점용,2025-04-30
소하천점용,신길2천,경기도 안산시 단원구 신길동  1542 ,2,(소하천법)그 밖의 목적을 위한 점용,2025-04-30
소하천점용,제기천,경기도 안산시 단원구 신길동  ,120,(소하천) 일반 공작물,2025-04-30
소하천점용,신길2천,경기도 안산시 단원구 신길동  1542 ,9.6,(소하천법)관로 등의 매설을 위한 점용,2025-04-30
