구분명,구역,업체명,소재지도로명주소,전화번호,데이터기준일자
하수도 긴급복구,안산시,㈜정복건설,경기도 안성시 금광면 삼흥로 498-16,031-677-0862,2025-04-30
하수도 긴급복구,안산시,해평산업㈜,"경기도 화성시 병점중앙로156번길 16, 301호",031-611-7220,2025-04-30
하수도 준설,안산시,경진정화산업㈜,"경기도 안산시 단원구 신촌6길 20, 202호",031-419-8600,2025-04-30
하수도 준설,안산시,㈜한얼토건,"경기도 안산시 단원구 원포공원1로 59, A-212호",031-411-2332,2025-04-30
하수도 준설,안산시,성호정화㈜,"경기도 안산시 상록구 정재로 23, 504호",010-407-0234,2025-04-30
하수도 준설,안산시,신광기업사,"경기도 안산시 상록구 석답길 45-6, 2층",031-437-4908,2025-04-30
하수도 준설,안산시,(유)에스디건설,"경기도 안산시 단원구 동산로 63, 427호",031-418-3488,2025-04-30
하수도 준설,안산시,대천진흥건설㈜,"경기도 안산시 단원구 고잔로 55, 1205호",031-403-7171,2025-04-30
