시군구,회사명,도로명주소,데이터기준일자
안산시,(주)신광기전,경기도 안산시 단원구 꽃우물길 95-12 (화정동),2024-02-13
안산시,(주)신기물산,경기도 안산시 상록구 팔곡산단4길 13(팔곡이동),2024-02-13
안산시,(주)신성금속,경기도 안산시 상록구 도금단지길 9 (팔곡이동),2024-02-13
안산시,(주)신성프리시젼,"경기도 안산시 상록구 팔곡산단3길 6(팔곡이동, (주)신성프리시젼)",2024-02-13
안산시,(주)신일프라코,경기도 안산시 상록구 도금단지1길 46(팔곡이동),2024-02-13
안산시,(주)써켐,"경기도 안산시 상록구 용담로 101 (팔곡이동, (주)써켐)",2024-02-13
안산시,(주)씨아이시스템,"경기도 안산시 단원구 광덕4로 58, 2층~3층 (초지동)",2024-02-13
안산시,(주)씨에프텍,경기도 안산시 상록구 선진3길 13 (사동),2024-02-13
안산시,(주)아이씨케이,"경기도 안산시 단원구 광덕동로 99, 201,202,203호 (고잔동, 현대타운)",2024-02-13
안산시,(주)아이엔젤,경기도 안산시 상록구 선진5길 32 (사동),2024-02-13
안산시,(주)아이월드,경기도 안산시 상록구 양달말길 25-3 (장상동),2024-02-13
안산시,(주)알티하이텍,경기도 안산시 상록구 수인로 710 (사사동) 3층,2024-02-13
안산시,(주)애기바당,경기도 안산시 단원구 연수원로 64 (원곡동) 창업기업보육센타 308호,2024-02-13
안산시,(주)앤아이씨연구소,경기도 안산시 상록구 안산테콤길 62 (사사동),2024-02-13
안산시,(주)에너지원,"경기도 안산시 단원구 광덕서로 82, 504호 (고잔동, 한남법조타운)",2024-02-13
안산시,(주)에스씨아이,"경기도 안산시 단원구 광덕서로 92, 602호 (고잔동, 대원빌딩)",2024-02-13
안산시,(주)에스씨아이,경기도 안산시 단원구 한양대학로 202 (고잔동) 4층,2024-02-13
안산시,(주)에스오엔씨,"경기도 안산시 단원구 광덕대로 130, A동 806호 (고잔동, 폴리타운)",2024-02-13
안산시,(주)에스제이,"경기도 안산시 상록구 안산테콤1길 5, 4층 (사사동)",2024-02-13
안산시,(주)에스제이켐,"경기도 안산시 상록구 도금단지2길 6 (팔곡이동, 해인기공)",2024-02-13
안산시,(주)에스케이피,"경기도 안산시 상록구 안산테콤길 36, 1층,2층 (사사동)",2024-02-13
안산시,(주)에스코,"경기도 안산시 상록구 도금단지2길 24 (팔곡이동, (주)에스코)",2024-02-13
안산시,(주)에스피일레멕,경기도 안산시 상록구 충정공길 2-15(사사동),2024-02-13
안산시,(주)에이치앤디테크,경기도 안산시 상록구 안산테콤1길 10 (사사동),2024-02-13
안산시,(주)에코파트너즈,"경기도 안산시 상록구 유남길 17-6, 장상동 544-5,6호 (장상동, 금비전자)",2024-02-13
안산시,(주)엔씨엠,경기도 안산시 상록구 안산테콤1길 9 (사사동),2024-02-13
안산시,(주)엘에스반도체,"경기도 안산시 상록구 팔곡두레길 111(팔곡일동, 주식회사현대엘이디)",2024-02-13
안산시,(주)엘포스텍알앤디,경기도 안산시 상록구 충정공길 44 (사사동) 외 3필지,2024-02-13
