법정동코드,시도명,시군구명,법정동명,도로명코드,도로명,행정동코드,행정동명,우편번호,업체코드,데이터기준일자
4127110100,경기도,안산시 상록구,일동,413000000000,안산대학로,4127151000,일동,15324,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,안골길,4127151000,일동,15324,13,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,안골3길,4127151000,일동,15325,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,안골길,4127151000,일동,15325,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,안골2길,4127151000,일동,15325,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,안골1길,4127151000,일동,15325,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,안산대학로,4127151000,일동,15325,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,웃말3길,4127151000,일동,15325,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,웃말4길,4127151000,일동,15325,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,웃말2안길,4127151000,일동,15325,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,웃말2길,4127151000,일동,15325,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,일동로,4127151000,일동,15325,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,안산대학로,4127151000,일동,15328,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,웃말1안길,4127151000,일동,15328,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,일동로,4127151000,일동,15328,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,웃말1길,4127151000,일동,15328,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,성호로,4127151000,일동,15328,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,웃말6길,4127151000,일동,15328,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,웃말5길,4127151000,일동,15328,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,성호로1길,4127151000,일동,15326,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,안산대학로,4127151000,일동,15326,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,실록2길,4127151500,이동,15515,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,안산대학로,4127151500,이동,15515,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,실록길,4127151500,이동,15515,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,실록1길,4127151500,이동,15515,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,실록3길,4127151500,이동,15515,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,석삼말로,4127151500,이동,15515,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,매화로,4127151500,이동,15515,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,매화로,4127151500,이동,15517,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,매화로3길,4127151500,이동,15517,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,매화로2길,4127151500,이동,15517,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,안산대학로,4127151500,이동,15517,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,석삼말로,4127151500,이동,15517,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,석삼말로,4127151500,이동,15514,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,성호로,4127151000,일동,15327,8,2023-11-09
4127110100,경기도,안산시 상록구,일동,413000000000,수인로,4127151500,이동,15516,8,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로,4127151500,이동,15507,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로,4127151500,이동,15507,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,도매시장로1길,4127151500,이동,15508,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,석삼말로1길,4127151500,이동,15508,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,석삼말로,4127151500,이동,15508,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,석삼말로2길,4127151500,이동,15508,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,도매시장로,4127151500,이동,15508,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,도매시장로2길,4127151500,이동,15508,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,석삼말로3길,4127151500,이동,15509,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,도매시장로,4127151500,이동,15509,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,석삼말로,4127151500,이동,15509,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,석삼말로4길,4127151500,이동,15509,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,석삼말로5길,4127151500,이동,15509,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,안산대학로,4127151500,이동,15509,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,구룡체육관로,4127151500,이동,15510,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,매화로3길,4127151500,이동,15518,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,매화로,4127151500,이동,15518,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,안산대학로,4127151500,이동,15518,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,매화로2길,4127151500,이동,15518,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,매화로4길,4127151500,이동,15518,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,매화로,4127151500,이동,15513,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,매화로1길,4127151500,이동,15513,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,이동로,4127151500,이동,15513,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로,4127151500,이동,15513,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로4길,4127151500,이동,15513,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로5길,4127151500,이동,15513,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로6안길,4127151500,이동,15512,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,이동로,4127151500,이동,15512,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로5길,4127151500,이동,15512,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로,4127151500,이동,15512,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로6길,4127151500,이동,15512,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,도매시장로,4127151500,이동,15512,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,이동로,4127151500,이동,15511,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,도매시장로,4127151500,이동,15511,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로6길,4127151500,이동,15511,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,구룡체육관로,4127151500,이동,15511,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로6안길,4127151500,이동,15511,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로5길,4127151500,이동,15511,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로5길,4127151500,이동,15514,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,구룡체육관로,4127151500,이동,15514,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로4길,4127151500,이동,15514,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,이동1길,4127151500,이동,15514,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,이동2길,4127151500,이동,15514,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,이동로,4127151500,이동,15514,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,매화로4길,4127151500,이동,15514,5,2023-11-09
